File  .text     Size               Crate Name
0.0%   0.1%     140B                 std core::ptr::drop_in_place<alloc::vec::Vec<alloc::string::String>>
0.0%   0.1%     139B                 std gimli::read::abbrev::Abbreviation::new
0.0%   0.1%     137B                 std std::sys::pal::unix::decode_error_kind
0.0%   0.1%     131B                 std std::panicking::payload_as_str
0.0%   0.1%     131B                 std core::ptr::drop_in_place<<alloc::collections::btree::map::IntoIter<K,V,A> as core::ops::drop::Drop>::drop::DropGuard<u64,core::result::Result<alloc::sync...
0.0%   0.0%     130B                 std core::ptr::drop_in_place<alloc::boxed::Box<[alloc::string::String]>>
0.0%   0.0%     130B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%     128B                 std addr2line::line::has_backward_slash_root
0.0%   0.0%     126B                 std core::slice::<impl [T]>::copy_within
0.0%   0.0%     126B                 std rustc_demangle::v0::Parser::backref
0.0%   0.0%     126B                 std <T as alloc::slice::<impl [T]>::to_vec_in::ConvertVec>::to_vec
0.0%   0.0%     122B                 std __extendhfsf2
0.0%   0.0%     121B                 std core::fmt::num::<impl core::fmt::LowerHex for isize>::fmt
0.0%   0.0%     120B                 std alloc::collections::btree::map::BTreeMap<K,V,A>::get
0.0%   0.0%     118B                 std core::fmt::num::<impl core::fmt::UpperHex for u32>::fmt
0.0%   0.0%     118B                 std core::fmt::num::<impl core::fmt::LowerHex for u32>::fmt
0.0%   0.0%     118B                 std core::str::<impl str>::trim_start_matches
0.0%   0.0%     118B                 std core::result::unwrap_failed
0.0%   0.0%     117B                 std core::fmt::num::<impl core::fmt::UpperHex for u8>::fmt
0.0%   0.0%     117B                 std core::fmt::num::<impl core::fmt::LowerHex for u8>::fmt
0.0%   0.0%     117B                 std alloc::raw_vec::finish_grow
0.0%   0.0%     116B                 std rustc_demangle::v0::Parser::opt_integer_62
